id,tipo,genero
56812,Película,Terror
56812,Película,Suspenso
44718,Película,Drama
44718,Película,Misterio
44718,Película,Comedia
49706,Película,Terror
37931,Película,Acción y aventura
37931,Película,Comedia
42889,Película,Comedia
44009,Película,Drama
44009,Película,Comedia
31007,Película,Drama
62489,Película,Música
62489,Película,Drama
62489,Película,Romance
50337,Película,Ciencia ficción y fantasía
50337,Película,Animación
50337,Película,Acción y aventura
50337,Película,Suspenso
50337,Película,Familiar
44638,Película,Drama
44638,Película,Ciencia ficción y fantasía
44638,Película,Comedia
50204,Película,Comedia
50204,Película,Suspenso
50204,Película,Historia y bélico
50204,Película,Terror
44560,Película,Drama
28396,Película,Terror
28396,Película,Misterio
36801,Película,Drama
36801,Película,Comedia
50848,Película,Drama
50848,Película,Comedia
50848,Película,Romance
148606,Película,Animación
148606,Película,Comedia
148606,Película,Familiar
148606,Película,Misterio
49087,Película,Drama
49087,Película,Suspenso
49087,Película,Crimen
49087,Película,Misterio
46207,Película,Drama
37932,Película,Familiar
37932,Película,Drama
53807,Película,Acción y aventura
53807,Película,Drama
35688,Película,Comedia
35688,Película,Romance
51250,Película,Acción y aventura
51250,Película,Crimen
46665,Película,Drama
46665,Película,Suspenso
32916,Película,Animación
32916,Película,Comedia
32916,Película,Familiar
32916,Película,Misterio
32916,Película,Ciencia ficción y fantasía
70695,Película,Drama
70695,Película,Comedia
63348,Película,Drama
63348,Película,Familiar
59490,Película,Documental
45272,Película,Drama
45272,Película,Romance
45272,Película,Música
73211,Película,Drama
73211,Película,Acción y aventura
46020,Película,Película para TV
46020,Película,Terror
46020,Película,Ciencia ficción y fantasía
77235,Película,Ciencia ficción y fantasía
77235,Película,Drama
77235,Película,Romance
77235,Película,Familiar
45649,Película,Comedia
45649,Película,Drama
45649,Película,Ciencia ficción y fantasía
45649,Película,Terror
45649,Película,Misterio
68252,Película,Suspenso
68252,Película,Ciencia ficción y fantasía
68252,Película,Acción y aventura
743885,Película,Documental
46812,Película,Terror
46812,Película,Acción y aventura
46812,Película,Comedia
52077,Película,Comedia
34182,Película,Drama
34182,Película,Historia y bélico
35458,Película,Comedia
35458,Película,Romance
51991,Película,Drama
51991,Película,Comedia
51991,Película,Romance
63498,Película,Animación
63498,Película,Música
63498,Película,Romance
35402,Película,Acción y aventura
35402,Película,Drama
35402,Película,Suspenso
45094,Película,Drama
51241,Película,Drama
51241,Película,Romance
62592,Película,Comedia
62592,Película,Romance
62592,Película,Película para TV
46920,Película,Drama
29564,Película,Acción y aventura
29564,Película,Comedia
44944,Película,Drama
54700,Película,Drama
54700,Película,Terror
54700,Película,Suspenso
33107,Película,Misterio
33107,Película,Suspenso
38568,Película,Drama
113727,Película,Drama
113727,Película,Suspenso
113727,Película,Romance
46829,Película,Comedia
46829,Película,Drama
56937,Película,Terror
148605,Película,Animación
148605,Película,Comedia
148605,Película,Familiar
